tweet,emoji,text,compound,sentiment
"😂😂😆😆love uuu, takecare of yourself",😂😂😆😆,"love uuu, takecare of yourself",0.6369,positive
fever 💃🏽,💃🏽,fever ,0.0,neutral
Happy Birthday lad 🎈🎈🎈,🎈🎈🎈,Happy Birthday lad ,0.5719,positive
"There is NO difference between David and Catherine, and Ten and Donna... 😂",😂,"There is NO difference between David and Catherine, and Ten and Donna... ",-0.4466,negative
KEYWORD FOR TODAY 20JAN 🎤 MIC DROP 🎤 MASS VOTE NOW,🎤🎤,KEYWORD FOR TODAY 20JAN  MIC DROP  MASS VOTE NOW,-0.2732,negative
Since it’s still Aoi’s birthday here let me post this 🤣 kjhgff 😭💖,🤣😭💖,Since it’s still Aoi’s birthday here let me post this  kjhgff ,0.0,neutral
vice trying to get k’s attention 💛💛💛 (c),💛💛💛,vice trying to get k’s attention  (c),0.0,neutral
"""DONT START MOMMA"" lmfaoo 😂",😂,"""DONT START MOMMA"" lmfaoo ",0.0,neutral
Facts! 🙏🏾 .........  with get_repost ・・・ A family that pray together stay…,🙏🏾,Facts!  .........  with get_repost ・・・ A family that pray together stay…,0.3802,positive
I know I’m not the only one who see this man post a beat under almost every post 😭,😭,I know I’m not the only one who see this man post a beat under almost every post ,0.0,neutral
"📣We're now leading with 0.25%📣 ⚠If you're donating points to other people, MAKE SURE THEY'RE ARMYs! There's antis out t…",📣📣⚠,"We're now leading with 0.25% If you're donating points to other people, MAKE SURE THEY'RE ARMYs! There's antis out t…",0.5147,positive
UPDATE: We’re so excited will be speaking at  in Las Vegas tomorrow! 📷: …,📷,UPDATE: We’re so excited will be speaking at  in Las Vegas tomorrow! : …,0.528,positive
"What About Us 🦋 • lead single, available now",🦋,"What About Us  • lead single, available now",0.0,neutral
I can hear you saying MASSIVE truly with devoured emotions 😇😘😘😘,😇😘😘😘,I can hear you saying MASSIVE truly with devoured emotions ,0.4404,positive
I so sick if these baria taking our women. Do we come take your Shaniquas from you 😒,😒,I so sick if these baria taking our women. Do we come take your Shaniquas from you ,-0.5563,negative
i love being home in my room being ugly in peace 😌,😌,i love being home in my room being ugly in peace ,0.6597,positive
☁ Love always wins ☁,☁☁, Love always wins ,0.836,positive
"Love Galore, Bodak Yellow, Teenage Fever, And Love  😍🙈 || , , , …",😍🙈,"Love Galore, Bodak Yellow, Teenage Fever, And Love   || , , , …",0.8555,positive
Ill rather listen to music loud while the tv turnt down just so i want hear romo opinions💯,💯,Ill rather listen to music loud while the tv turnt down just so i want hear romo opinions,-0.2637,negative
Seriously though... what more could you ask for? 🔥👒😜 Nachos all the way!!,🔥👒😜,Seriously though... what more could you ask for?  Nachos all the way!!,-0.3147,negative
🎁 Glock-18 | Water Elemental  ✅ RT + Like ✅ Follow Me ✅ Tag 2 Friends 48 hours ⏳ Good luck! 🍀,🎁✅✅✅⏳🍀, Glock-18 | Water Elemental   RT + Like  Follow Me  Tag 2 Friends 48 hours  Good luck! ,0.8955,positive
i love being home in my room being ugly in peace 😌,😌,i love being home in my room being ugly in peace ,0.6597,positive
He say he love me like Lucy..😛,😛,He say he love me like Lucy..,0.7717,positive
📹 via Instagram Stories,📹, via Instagram Stories,0.0,neutral
Back to Pittsburgh 🛫,🛫,Back to Pittsburgh ,0.0,neutral
Bag it up 👛 Shop the Martha Bag 👛 -,👛👛,Bag it up  Shop the Martha Bag  -,0.0,neutral
More time for this ⬇️,⬇,More time for this ️,0.0,neutral
omg this that pussy pink color😍😍😍,😍😍😍,omg this that pussy pink color,0.0,neutral
Bakayoko is useless as the P in Psychiatry😹😹,😹😹,Bakayoko is useless as the P in Psychiatry,-0.4215,negative
RT: Do your kids want to program LEGO® robots to do something or detect something? 👾 🤖 🖥️,®👾🤖🖥,RT: Do your kids want to program LEGO robots to do something or detect something?   ️,0.0772,positive
Good Snow Day Twitter.. ❤♠🎶🎸🎸,❤♠🎶🎸🎸,Good Snow Day Twitter.. ,0.4404,positive
"Congratulations love for 25K💜 you deserve it baby, i'm waiting for your beautiful picture at fanmeeting Happy Ever After💜💜💜💜",💜💜💜💜💜,"Congratulations love for 25K you deserve it baby, i'm waiting for your beautiful picture at fanmeeting Happy Ever After",0.9493,positive
God please bring her back to good health 💯,💯,God please bring her back to good health ,0.743,positive
If true then a large proportion of Americans have been very unhappy for decades 😂,😂,If true then a large proportion of Americans have been very unhappy for decades ,-0.0754,negative
Wow this BANGS 🔥🔥🔥,🔥🔥🔥,Wow this BANGS ,0.5859,positive
"At the beginning of 'Come Back Home', Jin showed us his high vocal range with this impressive falsetto👏",👏,"At the beginning of 'Come Back Home', Jin showed us his high vocal range with this impressive falsetto",0.596,positive
RT &amp; follow for a chance to WIN a Princess Leia [with Speeder Bike] Pop! Deluxe. 📦 The Smuggler's Bounty…,📦,RT &amp; follow for a chance to WIN a Princess Leia [with Speeder Bike] Pop! Deluxe.  The Smuggler's Bounty…,0.7798,positive
"I love you beautiful, give me my kisses 😄❤",😄❤,"I love you beautiful, give me my kisses ",0.9081,positive
hii rt this if it’s okay for me to send you nudes when I feel like it ✌️☺️,✌☺,hii rt this if it’s okay for me to send you nudes when I feel like it ️️,0.5267,positive
He squared up with ONLY A LOOK. Cats are the devil bruh. 😭😭😭,😭😭😭,He squared up with ONLY A LOOK. Cats are the devil bruh. ,-0.6597,negative
✨BIGBANG LAST DANCE IN SEOUL 12.30✨ 💎💎💎,✨✨💎💎💎,BIGBANG LAST DANCE IN SEOUL 12.30 ,0.0,neutral
Florida water 💦,💦,Florida water ,0.0,neutral
Bill Belichick challenging up 28💀 now THAT’S petty.,💀,Bill Belichick challenging up 28 now THAT’S petty.,-0.0516,negative
Same. But damn can they win 😵,😵,Same. But damn can they win ,0.3919,positive
Yes! See you tonight 😘,😘,Yes! See you tonight ,0.4574,positive
"When I say ""what's up"" I'm not asking how you're doing. I just want to know why you contacted me 🙄",🙄,"When I say ""what's up"" I'm not asking how you're doing. I just want to know why you contacted me ",0.0772,positive
Being happy is the best😍😍,😍😍,Being happy is the best,0.836,positive
180113 MUSTER    I’m dead🙃,🙃,180113 MUSTER    I’m dead,-0.6486,negative
THANK YOU K-DIAMOND 💜💜💜💜,💜💜💜💜,THANK YOU K-DIAMOND ,0.3612,positive
Sanitation crew is off so ill finally have a quiet plant 🤞😋,🤞😋,Sanitation crew is off so ill finally have a quiet plant ,-0.5598,negative
"Hey  babes, show some 💙 to by RTing this tweet to vote for them for   https://…",💙,"Hey  babes, show some  to by RTing this tweet to vote for them for   https://…",0.0,neutral
Looking in the mirror I thank God for what I’m about to be 🌹,🌹,Looking in the mirror I thank God for what I’m about to be ,0.5574,positive
have the best relationship with yourself before anyone 😘,😘,have the best relationship with yourself before anyone ,0.6369,positive
felt a little bit sad last night.. for those people who didn’t attend my special day 😿 bUT BEYONNNND GRATEFUL AND HAPPY FOR THOSE WHO CAME,😿,felt a little bit sad last night.. for those people who didn’t attend my special day  bUT BEYONNNND GRATEFUL AND HAPPY FOR THOSE WHO CAME,0.9215,positive
Jeon Jungkook💖,💖,Jeon Jungkook,0.0,neutral
Love u😍😘,😍😘,Love u,0.6369,positive
These niggas is clowns 😂,😂,These niggas is clowns ,-0.34,negative
Sema CrimeThriller .....✌❤❤ All the very best Bro......😇😇😍😍👍❤ Teaser Link : 👇👇👇 https…,✌❤❤😇😇😍😍👍❤👇👇👇,Sema CrimeThriller ..... All the very best Bro...... Teaser Link :  https…,0.4989,positive
THAT PART‼️,‼,THAT PART️,0.0,neutral
Today's thread of votes (Champion Remix rap lyrics by RM) 🐨    https:/…,🐨,Today's thread of votes (Champion Remix rap lyrics by RM)     https:/…,0.0,neutral
I know why you are laughing...you immoral heathen 😂,😂,I know why you are laughing...you immoral heathen ,-0.4588,negative
I liked a video SMASH OR PASS FT SAVAGE MOM!! SHE IS IN LOVE WITH SOLLUMINATI!? THATS TUFF 😂😍,😂😍,I liked a video SMASH OR PASS FT SAVAGE MOM!! SHE IS IN LOVE WITH SOLLUMINATI!? THATS TUFF ,0.7074,positive
Lolol ngena wena ghel rock his DM😂😂😂😂😂,😂😂😂😂😂,Lolol ngena wena ghel rock his DM,0.0,neutral
Happy birthday to our lil balloon booper 🎈,🎈,Happy birthday to our lil balloon booper ,0.5719,positive
Gidding13™ 2018 New series… ☞『Giza BOX』｜Gidding®13™,™®™,Gidding13 2018 New series… ☞『Giza BOX』｜Gidding13,0.0,neutral
xqc is such toxic trash and dallas started getting pounced when he started playing 🤔🤔🤔,🤔🤔🤔,xqc is such toxic trash and dallas started getting pounced when he started playing ,0.2023,positive
Who ignores you?!Tell me 🙄🔫 hahahah! 😂...😉,🙄🔫😂😉,Who ignores you?!Tell me  hahahah! ...,-0.3987,negative
i need to learn how to stop caring bout people who dont care bout me 😴,😴,i need to learn how to stop caring bout people who dont care bout me ,-0.1601,negative
Our 2eun for 2k18!!! 😂😂,😂😂,Our 2eun for 2k18!!! ,0.0,neutral
i love being home in my room being ugly in peace 😌,😌,i love being home in my room being ugly in peace ,0.6597,positive
"The best dancer, best voice and best actor ❤️",❤,"The best dancer, best voice and best actor ️",0.9274,positive
Everytime my mom hears me crying in my room she slips a Juul and some Juul pods under my door 😭😭😭 …,😭😭😭,Everytime my mom hears me crying in my room she slips a Juul and some Juul pods under my door  …,-0.4767,negative
"Beautiful, life affirming stuff 🙋🏻‍♂️",🙋🏻♂,"Beautiful, life affirming stuff ‍️",0.5994,positive
his duality 😂,😂,his duality ,0.0,neutral
Fast replies and french fries. 🙌🏻,🙌🏻,Fast replies and french fries. ,0.0,neutral
⏬ watch ⏬,⏬⏬, watch ,0.0,neutral
FOOL MY LIL CUZZIN IN MIDDLE SCHOOL SENT ME THIS😂😂😂😭,😂😂😂😭,FOOL MY LIL CUZZIN IN MIDDLE SCHOOL SENT ME THIS,-0.4404,negative
Cuddle me &amp; rub my booty while I play with your ear 🙊✨💕,🙊✨💕,Cuddle me &amp; rub my booty while I play with your ear ,0.34,positive
pied piper lyrics: 📑📚📔📖📕✏️📏📝📎📌📂📋📎📄✏️📗📚📝📐📏📎✏️📚📋✏️📚📄📃🎒📃📁📕📂✏🖇️📚✏️✏️🎒📂📚✏️🎒📋📂🖇✏️ pied piper choreography: 💀⚠️💦🔪🔞💣💀🔥🔫🔞💀🔪💦🔪💣💀🔫🔞💦💀🔪…,📑📚📔📖📕✏📏📝📎📌📂📋📎📄✏📗📚📝📐📏📎✏📚📋✏📚📄📃🎒📃📁📕📂✏🖇📚✏✏🎒📂📚✏🎒📋📂🖇✏💀⚠💦🔪🔞💣💀🔥🔫🔞💀🔪💦🔪💣💀🔫🔞💦💀🔪,pied piper lyrics: ️️️️️️️️️ pied piper choreography: ️…,0.0,neutral
Nod if you love  💙,💙,Nod if you love  ,0.6369,positive
"Happy Pongal, Happy sankranthi to all ☺️☺️",☺☺,"Happy Pongal, Happy sankranthi to all ️️",0.8126,positive
Backwoods I been living backwards 🌵,🌵,Backwoods I been living backwards ,0.0,neutral
You are something else 😍,😍,You are something else ,0.0,neutral
It’s cute😍 By Meyly,😍,It’s cute By Meyly,0.4588,positive
"Hey  babes, show some 💙 to by RTing this tweet to vote for them for   https://…",💙,"Hey  babes, show some  to by RTing this tweet to vote for them for   https://…",0.0,neutral
Projected on the San Francisco Federal Building on Friday night 🙃,🙃,Projected on the San Francisco Federal Building on Friday night ,0.0,neutral
•NEW MATT'S VIDEO• LINK: 👻Like and subs👻 🌷 🌷 🌠TRUTH or DARE w/ Jc Cay…,👻👻🌷🌷🌠,•NEW MATT'S VIDEO• LINK: Like and subs   TRUTH or DARE w/ Jc Cay…,0.6739,positive
Letting everything all out in the gym today 💪🏽,💪🏽,Letting everything all out in the gym today ,0.0,neutral
"My son is the biggest asshole, but at least he still cares. 😭😭",😭😭,"My son is the biggest asshole, but at least he still cares. ",0.6124,positive
Aww well if I ever meet you I wont let you ninja out!! You have no say in it either! 😊,😊,Aww well if I ever meet you I wont let you ninja out!! You have no say in it either! ,-0.2444,negative
AWP Dragon Lore Giveaway 💛 -RT -Like -Open your free gift at The winner will be picked tomorrow 😎…,💛😎,AWP Dragon Lore Giveaway  -RT -Like -Open your free gift at The winner will be picked tomorrow …,0.91,positive
BLACK PANTHER MOVIE 🐾🐾🐾🐾,🐾🐾🐾🐾,BLACK PANTHER MOVIE ,0.0,neutral
me🥂irl,🥂,meirl,0.0,neutral
yes bibi girl takecare we love you. 😻😚 salamat beshie sheena and badong,😻😚,yes bibi girl takecare we love you.  salamat beshie sheena and badong,0.7845,positive
I don't know 😭,😭,I don't know ,0.0,neutral
Everybody ain’t yo friend ‼️🚫🗣💯,‼🚫🗣💯,Everybody ain’t yo friend ️,0.4939,positive
RB Leipzig sit 5th on 28 points 👊 Schalke sit 2nd on 30 points 🙌 This evening's Bundesliga game on BT Sport 3 HD prom…,👊🙌,RB Leipzig sit 5th on 28 points  Schalke sit 2nd on 30 points  This evening's Bundesliga game on BT Sport 3 HD prom…,0.0,neutral
Jackson blowing kisses at fans as he leaves the venue 😭 Cr: dwyjee,😭,Jackson blowing kisses at fans as he leaves the venue  Cr: dwyjee,0.5106,positive
👉Follow everyone likes/retweets this👈,👉👈,Follow everyone likes/retweets this,0.0,neutral
on Best New Music / Music For Your Wknd together w/ and feat 💥💥💥…,💥💥💥,on Best New Music / Music For Your Wknd together w/ and feat …,0.6369,positive
So Cute! 12 Women Whom You Should Give The Wife Of The Century Award 😍😍,😍😍,So Cute! 12 Women Whom You Should Give The Wife Of The Century Award ,0.7955,positive
Gotta be prepared for it because of our prior history. So when we actually do win I can be even more excited 😂,😂,Gotta be prepared for it because of our prior history. So when we actually do win I can be even more excited ,0.8122,positive
8. Wind - INFINITE HE WHISTLED ALONG TO THE CHORUS YES DAD THAT’S RIGHT SUPPORT YOUR SON IN LAW AND HIS BROTHERS ✨,✨,8. Wind - INFINITE HE WHISTLED ALONG TO THE CHORUS YES DAD THAT’S RIGHT SUPPORT YOUR SON IN LAW AND HIS BROTHERS ,0.7824,positive
180113 Happy Ever After 🐯🐯,🐯🐯,180113 Happy Ever After ,0.5719,positive
okay but like...how are K-Armys still breathing? 😂😱😱😱,😂😱😱😱,okay but like...how are K-Armys still breathing? ,0.1154,positive
Tweet for shilpa😘😘 Shilpa Shinde For The Win,😘😘,Tweet for shilpa Shilpa Shinde For The Win,0.5859,positive
everytime u doing good saving like u should some unplanned bs always gotta come up 🙄🤦🏼‍♀️,🙄🤦🏼♀,everytime u doing good saving like u should some unplanned bs always gotta come up ‍️,0.6597,positive
and y’all wanna come for our leaders manners 😭😭,😭😭,and y’all wanna come for our leaders manners ,0.0,neutral
Who did this?🤣🤣🤣,🤣🤣🤣,Who did this?,0.0,neutral
180113 MUSTER    I’m dead🙃,🙃,180113 MUSTER    I’m dead,-0.6486,negative
AMAZING: The football world’s view on which Manchester team Alexis Sanchez will sign for. 😂⚽️👏 (🎥 …,😂⚽👏🎥,AMAZING: The football world’s view on which Manchester team Alexis Sanchez will sign for. ️ ( …,0.6739,positive
Haha  is worst character ever I have watched in tv😂😂😂,😂😂😂,Haha  is worst character ever I have watched in tv,-0.2732,negative
Lil Gnar &amp; Lil Skies crusin' down the street..🔥🏁,🔥🏁,Lil Gnar &amp; Lil Skies crusin' down the street..,0.0,neutral
Who knows what a pig says ??? 😂😂😂,😂😂😂,Who knows what a pig says ??? ,0.0,neutral
My son gone be throwin up gang signs before he can talk.♿️✌🏾🚾🤟🏾🈳👉🏾🈂️🤙🏾🅿️🤘🏾,♿✌🏾🚾🤟🏾🈳👉🏾🈂🤙🏾🅿🤘🏾,My son gone be throwin up gang signs before he can talk.️️️,0.0,neutral
Had a great show in Glasgow with 👌 See you tomorrow in Birmingham! Get your tickets here: …,👌,Had a great show in Glasgow with  See you tomorrow in Birmingham! Get your tickets here: …,0.6588,positive
Change the policy to what exactly? 🤔,🤔,Change the policy to what exactly? ,0.0,neutral
"When life gives you a hundred reasons to cry,Show life that you have a thousand reasons to smile😀",😀,"When life gives you a hundred reasons to cry,Show life that you have a thousand reasons to smile",0.3612,positive
What a great ending😃,😃,What a great ending,0.6249,positive
[!] Top Countries that tweeted  trend:  🇧🇷 Brazil 🇺🇸 United States 🇦🇷 Argentina 🇲🇽 Mexico…,,[!] Top Countries that tweeted  trend:  🇧🇷 Brazil 🇺🇸 United States 🇦🇷 Argentina 🇲🇽 Mexico…,0.5983,positive
Go listen to new 🔥,🔥,Go listen to new ,0.0,neutral
Follow everyone who Likes and Retweets this🎉✅,🎉✅,Follow everyone who Likes and Retweets this,0.4215,positive
•GAME DAY•  🆚 at 6:00pm/ct Listen 📻 to LETS CHEER 📣 ON OUR JETS ✈😊👏☝👊…,🆚📻📣✈😊👏☝👊,•GAME DAY•   at 6:00pm/ct Listen  to LETS CHEER  ON OUR JETS …,0.6166,positive
THIS IS SO ACCURATE😂,😂,THIS IS SO ACCURATE,0.0,neutral
That Swag..👌  😍😍😍,👌😍😍😍,That Swag..  ,0.0,neutral
Kodak surges after announcing plans to launch cryptocurrency called 'Kodakcoin' 😮,😮,Kodak surges after announcing plans to launch cryptocurrency called 'Kodakcoin' ,0.0,neutral
"hands up hands up hands up 👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽 all my friends, from the front to the back... sway swAY OOHhh NOOO 🙌…",👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽👋🏽🙌,"hands up hands up hands up  all my friends, from the front to the back... sway swAY OOHhh NOOO …",0.4767,positive
"""When we are together, even the desert becomes the sea"" 💜",💜,"""When we are together, even the desert becomes the sea"" ",0.0,neutral
🚨 ALERT 🚨 HERES THE STORY NOBODY IS TALKING ABOUT REAL RUSSIAN COLLUSION ⬇️⬇️ 11-count indictment was handed out Frida…,🚨🚨⬇⬇, ALERT  HERES THE STORY NOBODY IS TALKING ABOUT REAL RUSSIAN COLLUSION ️️ 11-count indictment was handed out Frida…,0.4466,positive
I need some mouth 😓😎,😓😎,I need some mouth ,0.0,neutral
Have u ever made out in each other’s jizz? 😏 — Is this a question?,😏,Have u ever made out in each other’s jizz?  — Is this a question?,0.0,neutral
"I like that quote I found the other day, ""The Matrix isn't a movie it's a documentary"" 😉",😉,"I like that quote I found the other day, ""The Matrix isn't a movie it's a documentary"" ",0.3612,positive
HIS HANDS ... ❤,❤,HIS HANDS ... ,0.0,neutral
its cold❄❄❄❄🌬🌬🌬☃☃☃😲,❄❄❄❄🌬🌬🌬☃☃☃😲,its cold,0.0,neutral
Dude is annoying as HELL. 😂,😂,Dude is annoying as HELL. ,-0.8415,negative
Love you too❤️❤️❤️,❤❤❤,Love you too️️️,0.6369,positive
Stop getting your bf/ gf name tatted if y’all not even steady 🗣,🗣,Stop getting your bf/ gf name tatted if y’all not even steady ,-0.296,negative
Watermelon ice cream is a thing. 🍉😍,🍉😍,Watermelon ice cream is a thing. ,0.0,neutral
⚡FOLLOW HELP VIP ⚡ 🔥,⚡⚡🔥,FOLLOW HELP VIP  ,0.7184,positive
"K WAVE 2 2018 just ended 🎊🎊 And K WAVE 3 1st line-up announcement,  🎉 K WAVE 3 will be coming soon this ye…",🎊🎊🎉,"K WAVE 2 2018 just ended  And K WAVE 3 1st line-up announcement,   K WAVE 3 will be coming soon this ye…",0.0,neutral
Will Tina make it through Valentine's Day? 💘 Tune in TOMORROW at 8:30/7:30c to find out!  …,💘,Will Tina make it through Valentine's Day?  Tune in TOMORROW at 8:30/7:30c to find out!  …,0.0,neutral
"😭😭😭😭 you are the best, thank you, that means so much to me 💞💞💞",😭😭😭😭💞💞💞," you are the best, thank you, that means so much to me ",0.7717,positive
Can you imagine the fear? 🤔😣,🤔😣,Can you imagine the fear? ,-0.4939,negative
This Chrome Extension proved that my son Donald Trump is 8yr old LMFAOOOOO...🤣,🤣,This Chrome Extension proved that my son Donald Trump is 8yr old LMFAOOOOO...,0.0,neutral
Does Cristiano Ronaldo know he is selling Titus fish and Turkey in Ipaja 😂😂,😂😂,Does Cristiano Ronaldo know he is selling Titus fish and Turkey in Ipaja ,0.0,neutral
my heart is.. red ❤    180111 GDA     …,❤,my heart is.. red     180111 GDA     …,0.0,neutral
"We are giving away 6,000,000  to our supporters 🤩. Tokens will be equally divided among 6,000 users (each one…",🤩,"We are giving away 6,000,000  to our supporters . Tokens will be equally divided among 6,000 users (each one…",0.6486,positive
🚀🤩💡Have you seen the new updated website? Please visit and let us now what you…,🚀🤩💡,Have you seen the new updated website? Please visit and let us now what you…,0.3182,positive
It's that time again🔥🔥 RT If you're online and follow back Follow everyone that retweets,🔥🔥,It's that time again RT If you're online and follow back Follow everyone that retweets,0.0,neutral
THIS MAY BE THE BEST PLOT TWIST OF 2018 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭 ht…,😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭,THIS MAY BE THE BEST PLOT TWIST OF 2018  ht…,0.7125,positive
ARE YOU KIDDING ME?! Quoting her basically sent your fans to attack her. How low... 🔥ARMY! He thinks we are playing aro…,🔥,ARE YOU KIDDING ME?! Quoting her basically sent your fans to attack her. How low... ARMY! He thinks we are playing aro…,-0.1904,negative
Compensation. OVER conversation 🤑,🤑,Compensation. OVER conversation ,0.0,neutral
Same! Cause the makeup’s the same all way through!  for Allstars 3 🤩,🤩,Same! Cause the makeup’s the same all way through!  for Allstars 3 ,0.0,neutral
"BBomb is not blonde, but his hair looks so good with that color!! he looks so bright and different 💕💕💕💕💕",💕💕💕💕💕,"BBomb is not blonde, but his hair looks so good with that color!! he looks so bright and different ",0.9154,positive
180113 Happy Ever After 🐯🐯,🐯🐯,180113 Happy Ever After ,0.5719,positive
I'm the kid that licks the milk out of his teaspoon like a cat 😂,😂,I'm the kid that licks the milk out of his teaspoon like a cat ,0.4019,positive
Everybody ain't your friend 🙅‍♂️,🙅♂,Everybody ain't your friend ‍️,-0.3875,negative
One of the most popular kdrama is on iflix! ❤️ Get your iflix premium now for only 50 php/month! may download option d…,❤,One of the most popular kdrama is on iflix! ️ Get your iflix premium now for only 50 php/month! may download option d…,0.5686,positive
😂😂😂😂😂😂😂😂😂😂😂😂😂 Am dead The economy is bad jare,😂😂😂😂😂😂😂😂😂😂😂😂😂, Am dead The economy is bad jare,-0.8316,negative
Jst d day before final 1m+ in 3 hours .n on final day shilpa with bb11 trophy 🏆 Shilpa Shinde For The Win,🏆,Jst d day before final 1m+ in 3 hours .n on final day shilpa with bb11 trophy  Shilpa Shinde For The Win,0.5859,positive
😘Ladies❣️You are my ❤️🔥☕️🔥❤️ ✅  (After Midnight PST),😘❣❤🔥☕🔥❤✅,Ladies️You are my ️️️   (After Midnight PST),0.0,neutral
Time to Gain 250+ active followers now I follow everyone Don't rt/like if you don't follow baxk 👉 Retweet 👉 Follow every…,👉👉,Time to Gain 250+ active followers now I follow everyone Don't rt/like if you don't follow baxk  Retweet  Follow every…,0.7269,positive
in my feelings 😒 lol,😒,in my feelings  lol,0.4215,positive
Boonk pulls out gun during interview 😳,😳,Boonk pulls out gun during interview ,-0.34,negative
Only $39 SAT and ACT Assessments for the month of January. Call to schedule! 973-593-0050. 👍🏻🍎📓📝…,👍🏻🍎📓📝,Only $39 SAT and ACT Assessments for the month of January. Call to schedule! 973-593-0050. …,0.0,neutral
with the outlet pass to  🗳✅,🗳✅,with the outlet pass to  ,0.0,neutral
Stray Kids’ MIXTAPE album photo got hung on JYP building. 😊,😊,Stray Kids’ MIXTAPE album photo got hung on JYP building. ,0.0,neutral
We should all learn to develop this habit. It will humble us in such a beautiful way. 🙌🏼👌🏼🌹,🙌🏼👌🏼🌹,We should all learn to develop this habit. It will humble us in such a beautiful way. ,0.5994,positive
If Lesotho twitter supports its own this is one way to prove it  🔥,🔥,If Lesotho twitter supports its own this is one way to prove it  ,0.3612,positive
Leave a message📮.,📮,Leave a message.,-0.0516,negative
"Honored to stand with this woman and women everywhere tonight for equality, parity, safety and inclusion. 🖤",🖤,"Honored to stand with this woman and women everywhere tonight for equality, parity, safety and inclusion. ",0.765,positive
Deija literally get sloppy drunk off one shot omg 🤦🏾‍♀️🤦🏾‍♀️🤦🏾‍♀️,🤦🏾♀🤦🏾♀🤦🏾♀,Deija literally get sloppy drunk off one shot omg ‍️‍️‍️,-0.34,negative
The video 👇,👇,The video ,0.0,neutral
how the squad be at the function 😈,😈,how the squad be at the function ,0.0,neutral
🔥Live Webcam Sex Chat For Free! 🔥 Register now 100% Free ↴ ✪➤ ✪➤ ✪➤ https://t…,🔥🔥,Live Webcam Sex Chat For Free!  Register now 100% Free ↴ ✪➤ ✪➤ ✪➤ https://t…,0.784,positive
"By the way, thank you so much for the hard work it is truly appreciated! 💜 I vote for",💜,"By the way, thank you so much for the hard work it is truly appreciated!  I vote for",0.8221,positive
You keep thinking that sunshine 😘,😘,You keep thinking that sunshine ,0.4939,positive
Have you voted for  to win  at our  today? 😬🎉 DO IT NOW -&gt; …,😬🎉,Have you voted for  to win  at our  today?  DO IT NOW -&gt; …,0.5859,positive
"honestly, no one deserves me 🤷🏽‍♀️",🤷🏽♀,"honestly, no one deserves me ‍️",0.2023,positive
who's responsible 💀🤦🏽‍♀️,💀🤦🏽♀,who's responsible ‍️,0.3182,positive
We LOVE unapologetic 42-year-old male Swifties. ❤️,❤,We LOVE unapologetic 42-year-old male Swifties. ️,0.7125,positive
It's time to take a throwback into the past! Hint: It's the story of a naval officer!   …,,It's time to take a throwback into the past! Hint: It's the story of a naval officer!   …,0.0,neutral
You guys did find my bag so for that I say thank you but I’m still never flying with or suggesting you guys again 🙅🏽‍♂️,🙅🏽♂,You guys did find my bag so for that I say thank you but I’m still never flying with or suggesting you guys again ‍️,0.1901,positive
"Hi bae Please follow everyone who RT this tweet? AND GUYS, WATCH NEW VIDEO ✨ ✨…",✨✨,"Hi bae Please follow everyone who RT this tweet? AND GUYS, WATCH NEW VIDEO  …",0.3182,positive
8️⃣ goals in his last 🔟 appearances... 🔥  is your Man of the Match!,🔟🔥,8️⃣ goals in his last  appearances...   is your Man of the Match!,0.0,neutral
I have plus size clothing as well! ❤️,❤,I have plus size clothing as well! ️,0.3382,positive
Nip slips 😉,😉,Nip slips ,0.0,neutral
We are amazed by the possibilities of  🎙😳 Ask your  to ‘play the Behind The Smoke podcast’…,🎙😳,We are amazed by the possibilities of   Ask your  to ‘play the Behind The Smoke podcast’…,0.4939,positive
"ggs always a blast playing against you guys, definitely was an exciting match 😊",😊,"ggs always a blast playing against you guys, definitely was an exciting match ",0.7717,positive
Same af 🌚,🌚,Same af ,0.0,neutral
WE DOIN ASSIGNMENTS 2-3 DAYS AHEAD AND TURNIN IN EXTRA CREDIT WORK LIKE ITS REQUIRED ALL 2018 ✨,✨,WE DOIN ASSIGNMENTS 2-3 DAYS AHEAD AND TURNIN IN EXTRA CREDIT WORK LIKE ITS REQUIRED ALL 2018 ,0.7626,positive
If Wynne gets in 👇,👇,If Wynne gets in ,0.0,neutral
We’re glowing over here ✨,✨,We’re glowing over here ,0.0,neutral
Oh damn. 👀,👀,Oh damn. ,-0.4019,negative
These guys are the real deal and crazy fun to watch! Let’s get them to the All-Star game folks! Much love fellas! 😎,😎,These guys are the real deal and crazy fun to watch! Let’s get them to the All-Star game folks! Much love fellas! ,0.7891,positive
just letting God do his thing with my life rn🙂,🙂,just letting God do his thing with my life rn,0.2732,positive
